authIdHalFullName_fs	authIdHalFullName_fs	halId_s	docType_s	producedDateY_i	fileMain_s	doiId_s
François Drémeaux	francois-dremeaux_FacetSep_François Drémeaux	hal-04234187	BLOG	2021	https://hal.science/hal-04234187/document	NA
François Drémeaux	francois-dremeaux_FacetSep_François Drémeaux	hal-04234217	COUV	2023	https://hal.science/hal-04234217/document	NA
Guillaume Le Roux,Florent Amat,Christophe Imbert	"c(""guillaume-le-roux_FacetSep_Guillaume Le Roux"", ""florent-amat_FacetSep_Florent Amat"", ""sc-imbert_FacetSep_Christophe Imbert"")"	halshs-04250548	ART	2023	https://shs.hal.science/halshs-04250548/document	10.14428/rqj2022.10.01.02
Lénaic Rummler,Mariam Abd El Sater,Nicolas Blanchard,Vincent Bizet	"c(""_FacetSep_Lénaic Rummler"", ""_FacetSep_Mariam Abd El Sater"", ""_FacetSep_Nicolas Blanchard"", ""vincent-bizet_FacetSep_Vincent Bizet"")"	hal-04252372	ART	2023	https://hal.science/hal-04252372/document	10.1055/a-2192-6996
Éric Daudé,Delphine Grancher,Franck Lavigne	"c(""eric-daude_FacetSep_Éric Daudé"", ""delphine-grancher_FacetSep_Delphine Grancher"", ""franck-lavigne_FacetSep_Franck Lavigne"")"	halshs-03177723	ART	2021	https://shs.hal.science/halshs-03177723/document	10.4000/echogeo.20961
Sebastien Courtin,Marin Gohard,Annick Laruelle	"c(""sebastien-courtin_FacetSep_Sebastien Courtin"", ""_FacetSep_Marin Gohard"", ""_FacetSep_Annick Laruelle"")"	hal-04352680	UNDEFINED	2023	https://hal.science/hal-04352680/document	NA
Élise Autrive,Laurent Beauguitte,Ninon Briot,Paul Gourdon	"c(""_FacetSep_Élise Autrive"", ""laurent-beauguitte_FacetSep_Laurent Beauguitte"", ""_FacetSep_Ninon Briot"", ""_FacetSep_Paul Gourdon"")"	hal-03920666	UNDEFINED	2024	https://hal.science/hal-03920666/document	NA
Diego Mermoud-Plaza,Chloé Montavon,Diane Le Luyer,Eléonore Pigalle,Lucas Haldimann,Guillaume Drevon	"c(""_FacetSep_Diego Mermoud-Plaza"", ""_FacetSep_Chloé Montavon"", ""_FacetSep_Diane Le Luyer"", ""eleonore-pigalle_FacetSep_Eléonore Pigalle"", ""_FacetSep_Lucas Haldimann"", ""guillaume-drevon_FacetSep_Guillaume Drevon"")"	hal-04461866	SON	2023	https://hal.science/hal-04461866/document	NA
Laëtitia Ngatcha-Ribert,Anne-Bérénice Simzac,Thibauld Moulaert	"c(""laetitia-ngatcha-ribert_FacetSep_Laëtitia Ngatcha-Ribert"", ""_FacetSep_Anne-Bérénice Simzac"", ""thibauld-moulaert_FacetSep_Thibauld Moulaert"")"	hal-03756430	ART	2022	https://hal.science/hal-03756430/document	10.3917/gs1.167.0039
Armelle Couillet,Hélène Rougier,Dominique Todisco,Josserand Marot,Olivier Gillet,Isabelle Crevecoeur	"c(""armelle-couillet_FacetSep_Armelle Couillet"", ""_FacetSep_Hélène Rougier"", ""dominique-todisco_FacetSep_Dominique Todisco"", ""_FacetSep_Josserand Marot"", ""olivier-gillet_FacetSep_Olivier Gillet"", ""isabelle-crevecoeur_FacetSep_Isabelle Crevecoeur"")"	halshs-03596369	ART	2022	https://shs.hal.science/halshs-03596369/document	10.5334/jcaa.81
Laëtitia Ngatcha-Ribert,Anne-Bérénice Simzac,Thibauld Moulaert	"c(""_FacetSep_Laëtitia Ngatcha-Ribert"", ""_FacetSep_Anne-Bérénice Simzac"", ""thibauld-moulaert_FacetSep_Thibauld Moulaert"")"	hal-03756385	ART	2022	https://hal.science/hal-03756385/document	10.3917/gs1.167.0011
Paul Rabelle,Carole Nehme,Daniel Ballesteros,Damase Mouralis,Aude Paichault	"c(""_FacetSep_Paul Rabelle"", ""_FacetSep_Carole Nehme"", ""_FacetSep_Daniel Ballesteros"", ""_FacetSep_Damase Mouralis"", ""_FacetSep_Aude Paichault"")"	hal-03235559	ART	2021	https://hal.science/hal-03235559/document	NA
Ronan Kerbiriou	_FacetSep_Ronan Kerbiriou	hal-04336640	ART	2024	https://hal.science/hal-04336640/document	10.12716/1001.18.01.22
Lilian Loubet,Géraldine del Mondo,Julius Bañgate,Eric Sanlaville,Pierrick Tranouez	"c(""loubet-lilian_FacetSep_Lilian Loubet"", ""_FacetSep_Géraldine del Mondo"", ""_FacetSep_Julius Bañgate"", ""_FacetSep_Eric Sanlaville"", ""_FacetSep_Pierrick Tranouez"")"	hal-04154472	ART	2024	https://hal.science/hal-04154472/document	NA
Olivier Joly,Ronan Kerbiriou	"c(""_FacetSep_Olivier Joly"", ""_FacetSep_Ronan Kerbiriou"")"	hal-04413092	ART	2023	https://hal.science/hal-04413092/document	10.4000/bagf.11288
Ronan Kerbiriou	ronan-kerbiriou_FacetSep_Ronan Kerbiriou	hal-04427621	COUV	2023	https://hal.science/hal-04427621/document	NA
Mohammadali Vosooghidizaji,Clément Méjane,Ronan Kerbiriou	"c(""mohammadali-vosooghidizaji_FacetSep_Mohammadali Vosooghidizaji"", ""_FacetSep_Clément Méjane"", ""ronan-kerbiriou_FacetSep_Ronan Kerbiriou"")"	hal-03684513	REPORT	2022	https://hal.science/hal-03684513/document	NA
Camille Martel,Gaëlle Lefer Sauvage,Marin Laborie,Arnaud Banos	"c(""_FacetSep_Camille Martel"", ""gaelle-lefer-sauvage_FacetSep_Gaëlle Lefer Sauvage"", ""marin-laborie_FacetSep_Marin Laborie"", ""arnaud-banos_FacetSep_Arnaud Banos"")"	hal-04379039	COUV	2024	https://hal.science/hal-04379039/document	NA
